id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
dk-randers-fc,Cepheus Park Randers,Randers FC,Superliga,Randers,56.46596,10.01029,dk,dk-superliga,core_denmark,RAN,dk-superliga,2026-27,active,
dk-asa-aarhus,Robotize Park,ASA Aarhus,3. division,Aarhus,56.14734,10.19858,dk,dk-3-division,core_denmark,ASA,dk-3-division,2026-27,active,
dk-ringsted-if,Ringsted Stadion,Ringsted IF,3. division,Ringsted,55.44676346243488,11.807688628276336,dk,dk-3-division,core_denmark,RIF,dk-3-division,2026-27,active,
dk-fc-roskilde,Roskilde Idrætspark,FC Roskilde,2. division,Roskilde,55.6369153829245,12.0736958182476,dk,dk-2-division,core_denmark,ROS,dk-2-division,2026-27,active,
dk-silkeborg-if,JYSK Park,Silkeborg IF,Superliga,Silkeborg,56.18475,9.57424,dk,dk-superliga,core_denmark,SIF,dk-superliga,2026-27,active,
dk-sonderjyske,Sydbank Park,Sønderjyske Fodbold,Superliga,Haderslev,55.2614,9.48767,dk,dk-superliga,core_denmark,SJE,dk-superliga,2026-27,active,
dk-skive,Hancock Arena,Skive,2. division,Skive,56.568069493638,9.0379069753219,dk,dk-2-division,core_denmark,SKI,dk-2-division,2026-27,active,
dk-sundby-bk,Kløvermarkens Idrætsanlæg,Sundby BK,3. division,København,55.6725088572424,12.607451512473,dk,dk-3-division,core_denmark,SUN,dk-3-division,2026-27,active,
dk-thisted-fc,Sparekassen Thy Arena,Thisted FC,2. division,Thisted,56.9689679935107,8.70191221050862,dk,dk-2-division,core_denmark,THI,dk-2-division,2026-27,active,
dk-vanlose,Vanløse Idrætspark,Vanløse,3. division,Vanløse,55.6863268539312,12.4778320022532,dk,dk-3-division,core_denmark,VAN,dk-3-division,2026-27,active,
dk-vejle-boldklub,Vejle Stadion,Vejle Boldklub,1. division,Vejle,55.71378,9.55615,dk,dk-1-division,core_denmark,VB,dk-1-division,2026-27,active,
dk-vejgaard-b,Spar Nord Arena,Vejgaard B,Nedrykkere,Aalborg,57.0320000874387,9.96672625701582,dk,,core_denmark,VEJ,,2026-27,relegated,
dk-vendsyssel-ff,Nord Energi Arena,Vendsyssel FF,1. division,Hjørring,57.4578117001189,9.99827034654147,dk,dk-1-division,core_denmark,VEN,dk-1-division,2026-27,active,
dk-viborg-ff,Energi Viborg Arena,Viborg FF,Superliga,Viborg,56.4559,9.40213,dk,dk-superliga,core_denmark,VFF,dk-superliga,2026-27,active,
dk-vsk-aarhus,Vejlby Stadion,VSK Aarhus,2. division,Aarhus,56.1927945604619,10.2078973873864,dk,dk-2-division,core_denmark,VSK,dk-2-division,2026-27,active,
