id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
lt-sirvena-birzai,Biržai Stadium,FK Širvėna,II Lyga A,Biržai,56.2,24.75,lt,lt-ii-lyga-a,lithuania_top_3,SIR,lt-ii-lyga-a,2026,active,
lt-ukmerge,Ukmergė Stadium,FKS Ukmergė,II Lyga A,Ukmergė,55.25,24.75,lt,lt-ii-lyga-a,lithuania_top_3,UKM,lt-ii-lyga-a,2026,active,
lt-sirijus,Klaipėdos dirbtinės dangos aikštė,FK Sirijus,II Lyga A,Klaipėda,55.708722,21.132084,lt,lt-ii-lyga-a,lithuania_top_3,SRI,lt-ii-lyga-a,2026,active,
lt-banga-b,Gargždai Stadium,FK Banga B,II Lyga A,Gargždai,55.7114,21.3944,lt,lt-ii-lyga-a,lithuania_top_3,BNB,lt-ii-lyga-a,2026,active,
lt-utenis,Utenis Stadium,Utenos Utenis,II Lyga A,Utena,55.4976,25.5992,lt,lt-ii-lyga-a,lithuania_top_3,UTE,lt-ii-lyga-a,2026,active,
lt-neptunas-b,Klaipėdos dirbtinės dangos aikštė,FC Neptūnas B,II Lyga A,Klaipėda,55.708722,21.132084,lt,lt-ii-lyga-a,lithuania_top_3,NPB,lt-ii-lyga-a,2026,active,
lt-silute,Šilutė Stadium,FK Šilutė,II Lyga A,Šilutė,55.35,21.483,lt,lt-ii-lyga-a,lithuania_top_3,SIL,lt-ii-lyga-a,2026,active,
lt-viltis-vilnius,VFA-Hanner Stadium,FK Viltis,II Lyga A,Vilnius,54.68722,25.28,lt,lt-ii-lyga-a,lithuania_top_3,VIL,lt-ii-lyga-a,2026,active,
lt-dainava-b,Alytus Stadium,FK Dainava B,II Lyga A,Alytus,54.40139,24.04917,lt,lt-ii-lyga-a,lithuania_top_3,DAB,lt-ii-lyga-a,2026,active,
lt-ataka,Vilniaus M. Biržiškos stadionas,FK Ataka,II Lyga B,Vilnius,54.68722,25.28,lt,lt-ii-lyga-b,lithuania_top_3,ATA,lt-ii-lyga-b,2026,active,
lt-nemunas,Prienų SC stadionas,FK Nemunas,II Lyga B,Prienai,54.6333,23.95,lt,lt-ii-lyga-b,lithuania_top_3,NEM,lt-ii-lyga-b,2026,active,
lt-minija-b,Kretingos dirbtinės dangos aikštė,FK Minija B,II Lyga B,Kretinga,55.89,21.24222,lt,lt-ii-lyga-b,lithuania_top_3,MIB,lt-ii-lyga-b,2026,active,
lt-radviliskis,Lietuvos Sąjūdžio stadionas,FSK Radviliškis,II Lyga B,Radviliškis,55.8167,23.5333,lt,lt-ii-lyga-b,lithuania_top_3,RAD,lt-ii-lyga-b,2026,active,
lt-dziugas-b,Telšių Ateities progimnazijos stadionas,FC Džiugas B,II Lyga B,Telšiai,55.9864,22.2481,lt,lt-ii-lyga-b,lithuania_top_3,DZB,lt-ii-lyga-b,2026,active,
lt-visagino-interas,Visagino miesto dirbtinės dangos aikštė,FC Visagino Interas,II Lyga B,Visaginas,55.5966,26.4388,lt,lt-ii-lyga-b,lithuania_top_3,VIS,lt-ii-lyga-b,2026,active,
lt-granitas,Naujosios Vilnios stadionas,FK Granitas,II Lyga B,Vilnius,54.68722,25.28,lt,lt-ii-lyga-b,lithuania_top_3,GRA,lt-ii-lyga-b,2026,active,
lt-vilniaus-vytis,Vilniaus Fabijoniškių gimnazijos stadionas,FM Vilniaus Vytis,II Lyga B,Vilnius,54.68722,25.28,lt,lt-ii-lyga-b,lithuania_top_3,VVY,lt-ii-lyga-b,2026,active,
lt-pempininkai,Gargždų miesto stadionas,FK Pempininkai,II Lyga B,Gargždai,55.7114,21.3944,lt,lt-ii-lyga-b,lithuania_top_3,PEM,lt-ii-lyga-b,2026,active,
lt-venta,Kuršėnų SM stadionas,FK Venta,II Lyga B,Kuršėnai,56.0032,22.9366,lt,lt-ii-lyga-b,lithuania_top_3,VEN,lt-ii-lyga-b,2026,active,
lt-babrungas-b,Plungės dirbtinės dangos stadionas,FK Babrungas B,II Lyga B,Plungė,55.91111,21.84167,lt,lt-ii-lyga-b,lithuania_top_3,BB2,lt-ii-lyga-b,2026,active,
lt-atmosfera-b,Mažeikių centrinio stadiono dirbtinės dangos aikštė,FK Atmosfera B,II Lyga B,Mažeikiai,56.3094,22.3417,lt,lt-ii-lyga-b,lithuania_top_3,ATB,lt-ii-lyga-b,2026,active,
lt-kauno-zalgirio-fa,Kauno Žalgirio FA maniežas,Kauno Žalgirio FA,II Lyga B,Kaunas,54.89722,23.88611,lt,lt-ii-lyga-b,lithuania_top_3,KFA,lt-ii-lyga-b,2026,active,
lt-cementininkas,Naujosios Akmenės miesto stadiono dirbtinės dangos aikštė,FK Cementininkas,II Lyga B,Naujoji Akmenė,56.3167,22.9,lt,lt-ii-lyga-b,lithuania_top_3,CEM,lt-ii-lyga-b,2026,active,
lt-saned,Joniškio miesto stadionas,FK Saned,II Lyga B,Joniškis,56.2333,23.6167,lt,lt-ii-lyga-b,lithuania_top_3,SAN,lt-ii-lyga-b,2026,active,
