id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
tr-sariyer,Yusuf Ziya Öniş Stadium,Sarıyer,1. Lig,Sarıyer,41.1725,29.0503,tr,tr-1-lig,turkey_top_3,SAR,tr-1-lig,2025-26,active,
tr-serikspor,Serik İsmail Oğan Stadium,Serikspor,1. Lig,Serik,36.9165,31.1028,tr,tr-1-lig,turkey_top_3,SER,tr-1-lig,2025-26,active,
tr-sivasspor,New Sivas 4 Eylül Stadium,Sivasspor,1. Lig,Sivas,39.72833333,36.98388889,tr,tr-1-lig,turkey_top_3,SIV,tr-1-lig,2025-26,active,
tr-umraniyespor,Ümraniye Municipality City Stadium,Ümraniyespor,1. Lig,Ümraniye,41.03111111,29.10805556,tr,tr-1-lig,turkey_top_3,UMR,tr-1-lig,2025-26,active,
tr-vanspor,Van Atatürk Stadium,Vanspor,1. Lig,Van,38.4960867,43.3730708,tr,tr-1-lig,turkey_top_3,VAN,tr-1-lig,2025-26,active,
tr-24-erzincanspor,"Erzincan 13 Şubat Şehir Stadyumu, Erzincan",24 Erzincanspor,2. Lig Beyaz Grup,24 Erzincan,39.7504861,39.4966888,tr,tr-2-lig-beyaz-grup,turkey_top_3,24E,tr-2-lig-beyaz-grup,2025-26,active,
tr-adana-01,Ali Hoşfikirer Stadium,Adana 01,2. Lig Beyaz Grup,Adana,37.0,35.32133333,tr,tr-2-lig-beyaz-grup,turkey_top_3,A01,tr-2-lig-beyaz-grup,2025-26,active,
tr-altinordu,Bornova Aziz Kocaoğlu Stadium,Altınordu,2. Lig Beyaz Grup,Altınordu,40.9786588,37.8964303,tr,tr-2-lig-beyaz-grup,turkey_top_3,ALT,tr-2-lig-beyaz-grup,2025-26,active,
tr-ankaraspor,Etimesgut Belediyesi Atatürk Stadyumu,Ankaraspor,2. Lig Beyaz Grup,Ankara,39.9250035,32.8576445,tr,tr-2-lig-beyaz-grup,turkey_top_3,ANK,tr-2-lig-beyaz-grup,2025-26,active,
tr-batman-petrolspor,"Batman Stadium, Batman",Batman Petrolspor,2. Lig Beyaz Grup,Batman,37.8569787,41.1327731,tr,tr-2-lig-beyaz-grup,turkey_top_3,BAT,tr-2-lig-beyaz-grup,2025-26,active,
tr-beykoz-anadoluspor,Sancaktepe Stadium,Beykoz Anadoluspor,2. Lig Beyaz Grup,Sancaktepe,41.0024389,29.2260889,tr,tr-2-lig-beyaz-grup,turkey_top_3,BEY,tr-2-lig-beyaz-grup,2025-26,active,
